beerName,beerStyle,upc,quantityOnHand,price,createdDate,updateDate
Smooth Storm Wheat,ALE,010862772164,277,3.44,2023-02-02T10:05:02,2024-01-16T08:51:34
Ancient River Pilsner,ALE,893240039830,21,9.37,2024-11-11T05:14:15,2024-12-15T19:17:43
Session Bear Pilsner,PALE_ALE,423458735185,322,18.11,2023-10-10T23:31:37,2023-11-28T07:02:50
Frosty Falcon IPA,PILSNER,563230581679,437,9.13,2020-02-23T06:35:47,2024-10-24T18:32:49
Dark Bear Lager,PORTER,508779833149,405,18.7,2023-07-02T11:08:15,2024-11-28T04:06:04
Cloudy Tiger Stout,LAGER,159281019614,261,15.65,2023-06-20T03:37:35,2024-08-08T01:09:34
Roasted Dragon Lager,GOSE,257169058297,24,20.05,2023-03-28T17:06:02,2023-12-02T10:50:49
Crispy Forest Porter,ALE,340290331050,340,13.61,2022-07-03T04:43:24,2024-02-24T03:44:04
Hoppy Raven Lager,PILSNER,323560680033,349,9.16,2024-06-09T08:15:47,2024-06-17T01:50:17
Rustic Lion Wheat,PILSNER,910083392956,411,4.18,2021-04-25T10:22:05,2023-06-25T20:59:39
Wild Hawk Gose,IPA,294486801090,410,12.37,2023-12-26T22:41:53,2024-02-07T00:26:37
Session Fox Lager,GOSE,249303572062,8,23.97,2024-06-10T12:43:08,2024-07-27T04:22:47
Cloudy Dragon Bock,LAGER,532284082066,158,8.6,2022-02-22T15:38:29,2023-08-21T18:54:36
Amber Creek Pilsner,STOUT,295315053350,297,9.33,2024-06-04T14:38:24,2024-11-03T16:07:35
Ancient Eagle Porter,STOUT,863208993930,72,13.73,2021-09-08T18:01:33,2022-05-07T12:34:49
Dark Raven Ale,PALE_ALE,372818480031,355,12.48,2020-02-13T14:14:15,2023-08-11T16:38:51
Sweet Dragon Pilsner,STOUT,285298936229,159,9.61,2023-09-05T14:54:22,2023-10-31T07:40:06
Imperial Wolf Porter,GOSE,036281422756,112,19.48,2024-08-21T22:55:24,2024-09-28T12:13:03
Ancient Hawk Porter,STOUT,142671923615,28,5.72,2023-06-13T02:06:56,2024-02-06T11:26:00
Session Tiger Stout,IPA,347112897374,349,14.93,2021-01-03T07:42:53,2024-03-11T08:17:33
Frosty Peak Sour,ALE,681297410361,28,16.61,2023-07-05T04:10:28,2024-07-21T14:02:45
Golden River IPA,WHEAT,359339332663,436,24.21,2022-05-16T19:36:42,2024-10-21T21:11:36
Frosty Eagle Porter,IPA,130351937067,370,19.08,2021-12-28T18:18:45,2024-01-02T08:48:51
Hoppy Fox Lager,ALE,409112649860,403,12.62,2022-11-10T11:18:07,2023-09-03T09:48:57
Hazy Fox Wheat,PALE_ALE,701183298109,254,18.9,2023-01-23T02:54:25,2024-10-25T05:47:47
Sweet Dragon Stout,ALE,318536539419,464,5.75,2020-07-22T03:57:09,2024-03-12T18:48:33
Ancient Storm Ale,ALE,765819893718,301,10.84,2024-12-29T01:58:48,2024-12-29T06:38:03
Smooth Fox Pilsner,PILSNER,965280044959,432,15.8,2021-05-31T23:20:39,2023-02-03T10:43:28
Wild River Ale,STOUT,345440954375,41,13.28,2021-06-29T01:08:19,2022-10-13T14:52:26
Session Hawk Wheat,PALE_ALE,593244303307,268,18.93,2021-05-02T14:17:35,2022-02-08T20:23:19
Rustic Fox Sour,SOUR,491370321761,75,12.21,2022-04-07T15:30:38,2022-11-19T03:25:09
Bright Forest Ale,SOUR,059176370447,157,20.05,2024-01-03T18:38:29,2024-01-09T11:47:23
Sweet Storm Sour,GOSE,074628624464,250,19.8,2024-01-29T06:25:59,2024-03-01T02:30:12
Imperial Eagle IPA,PALE_ALE,508455432211,46,17.89,2021-01-06T07:10:47,2021-01-14T23:25:42
Bold Ridge Lager,LAGER,530166261917,218,10.64,2022-12-01T22:40:42,2024-08-19T02:51:33
Bold Dragon Gose,STOUT,494393938271,416,18.08,2020-11-23T07:48:05,2021-08-07T13:14:55
Golden Bear Lager,GOSE,662257045691,310,17.27,2020-12-10T23:55:54,2024-12-23T18:48:44
Smooth Creek IPA,ALE,535791036884,466,5.03,2020-10-24T20:06:48,2021-07-22T00:10:51
Wild River Gose,SOUR,997699875884,207,10.64,2020-10-22T16:14:28,2023-02-21T01:50:31
Cloudy Eagle Pilsner,STOUT,011560082628,457,14.39,2024-08-27T05:58:26,2024-09-14T01:54:53
Malty Forest Pilsner,ALE,311127184765,359,6.75,2020-01-11T14:32:37,2020-04-02T01:38:33
Malty Tiger IPA,ALE,639995108986,10,20.26,2020-02-20T18:17:57,2021-01-07T09:34:22
Wild Coast Porter,PORTER,324427716041,110,20.43,2022-05-31T18:04:18,2024-12-22T06:27:23
Sweet Mountain Ale,SOUR,045459925399,123,21.83,2023-04-07T22:02:09,2024-02-21T10:21:31
Cloudy Bluff IPA,WHEAT,638790614159,465,21.63,2021-01-25T20:53:05,2023-07-18T23:45:49
Smooth Storm Wheat,ALE,736956325281,170,6.89,2020-10-17T04:08:02,2021-10-30T07:12:18
Ancient Dragon Sour,ALE,683931586950,3,19.01,2021-11-24T15:48:20,2022-04-27T22:42:13
Rustic Peak Lager,STOUT,350318504245,134,7.68,2024-11-03T08:27:58,2024-11-14T22:13:10
Cloudy Mountain Stout,ALE,747620883261,154,12.36,2020-10-12T21:37:04,2021-12-12T19:30:30
Sweet Tiger Stout,ALE,221174280441,282,3.03,2021-01-20T20:34:23,2021-10-11T22:28:03
Bright Dragon Wheat,ALE,500584754142,354,12.13,2024-02-09T00:46:29,2024-02-12T05:40:17
Frosty Eagle Gose,PILSNER,125791031030,491,7.71,2024-02-01T14:45:02,2024-07-06T05:43:15
Golden Tiger Stout,ALE,071348738596,14,21.52,2020-01-03T00:35:33,2023-09-14T22:35:36
Bitter Dragon Stout,GOSE,197474592698,69,23.3,2024-10-05T22:48:48,2024-12-21T09:07:43
Wild Raven Stout,PORTER,766278328657,304,12.97,2023-02-28T05:05:12,2024-06-09T00:34:02
Ancient Coast Porter,IPA,361517695389,13,19.71,2023-09-15T10:33:55,2024-03-31T08:08:58
Session Storm Lager,SOUR,659739324510,337,13.22,2020-12-18T01:30:24,2021-02-02T17:25:58
Dark Lion IPA,PILSNER,953180501821,479,4.49,2022-09-12T19:58:28,2024-09-13T01:50:04
Imperial Ridge Stout,SOUR,772368702731,9,11.84,2024-12-17T23:26:16,2024-12-28T10:17:54
Wild Creek Wheat,WHEAT,978980403154,389,4.68,2022-11-15T00:20:43,2023-05-24T18:04:37
Crispy Tiger IPA,SOUR,566012335420,293,3.03,2024-06-18T19:28:56,2024-08-18T01:52:45
Frosty Dragon Wheat,SOUR,911924568453,45,14.96,2023-04-08T02:16:33,2024-07-10T15:01:40
Ancient Dragon Porter,IPA,773081157781,482,17.85,2021-04-13T22:32:38,2024-03-20T04:27:20
Frosty Ridge Bock,LAGER,522071443062,45,6.85,2021-07-10T15:24:40,2022-12-06T03:48:25
Bitter Storm Bock,STOUT,251042854142,435,19.19,2021-06-12T02:27:20,2024-09-25T19:40:32
Crispy Valley Sour,IPA,690203655851,258,9.7,2020-11-01T00:56:04,2022-08-15T02:15:22
Golden Bear Gose,ALE,886676195944,53,12.23,2024-05-01T19:39:57,2024-09-22T06:43:45
Dark Hawk Bock,LAGER,517654344876,132,7.44,2020-10-12T20:37:44,2022-12-27T02:00:24
Amber Wolf Porter,STOUT,204817118684,181,5.49,2023-11-18T16:28:42,2024-01-18T15:34:33
Malty Mountain Lager,LAGER,149839321010,367,24.67,2021-10-16T05:40:42,2023-12-04T01:46:52
Bright Hawk Lager,SOUR,736152551821,427,24.17,2023-11-13T17:06:23,2024-11-27T14:12:33
Hoppy Fox IPA,ALE,555861770775,98,21.43,2022-03-20T10:32:52,2024-01-14T09:45:29
Dark Bear Porter,WHEAT,417606086261,273,18.65,2024-07-25T01:12:19,2024-12-04T14:30:29
Hoppy Mountain Wheat,GOSE,501803678627,328,6.15,2020-04-01T08:03:35,2023-09-10T03:12:40
Imperial Peak Bock,WHEAT,328129512004,46,9.36,2023-10-12T00:21:02,2024-03-15T08:04:37
Bitter Creek Wheat,LAGER,069452327518,175,11.77,2024-09-25T18:06:02,2024-10-02T09:49:12
Wild Mountain Stout,ALE,077642478292,296,17.19,2022-07-28T18:16:59,2022-08-09T13:04:36
Rustic River Stout,SOUR,053946779932,94,14.68,2024-01-13T12:46:06,2024-06-17T11:59:28
Bitter Dragon Wheat,SOUR,119483751298,27,8.71,2021-07-05T12:07:08,2023-05-31T01:37:34
Sweet Bluff Stout,PALE_ALE,782814056312,378,5.89,2020-01-31T05:34:31,2021-05-08T07:45:24
Amber Raven Ale,SOUR,212969557462,411,18.2,2024-04-15T01:57:19,2024-08-28T16:51:12
Bitter Dragon Porter,IPA,277753669530,234,3.68,2021-11-15T00:03:04,2023-02-18T04:06:15
Roasted Valley Sour,STOUT,986405223727,174,12.94,2024-05-30T04:07:14,2024-10-24T03:02:07
Smooth Tiger IPA,ALE,810607952447,483,3.69,2022-07-16T00:47:14,2024-12-25T17:11:58
Dark Fox Gose,IPA,809054287093,342,11.79,2022-05-28T09:06:12,2023-05-24T07:21:05
Amber Bluff Gose,LAGER,051782702815,464,4.07,2021-11-12T09:56:59,2023-11-03T20:16:36
Hazy Raven Sour,PILSNER,350144024214,64,8.32,2024-02-15T07:22:52,2024-03-12T20:30:13
Hazy Wolf Sour,ALE,022097681565,446,10.7,2024-07-19T22:17:02,2024-12-12T21:06:02
Bright Falcon Pilsner,WHEAT,040121982596,65,13.67,2020-12-26T10:26:18,2021-11-13T20:51:05
Bold Tiger Wheat,ALE,386629533218,445,6.83,2023-07-05T13:33:50,2023-10-24T13:03:52
Bright Coast Ale,STOUT,017888485137,73,13.54,2022-04-12T15:36:59,2024-12-24T19:28:45
Malty Fox Gose,LAGER,490387841236,335,8.66,2022-03-03T05:27:12,2024-06-07T05:37:54
Dark Bear Lager,SOUR,889960506240,359,9.26,2023-06-11T20:50:46,2024-09-01T14:56:13
Malty Falcon Wheat,PALE_ALE,901613621827,486,4.49,2021-10-24T04:51:12,2024-10-19T11:04:26
Bold Mountain IPA,GOSE,512526362014,49,19.5,2023-04-06T10:05:30,2023-05-20T11:58:39
Roasted Storm Bock,PILSNER,516695546242,474,16.43,2024-10-19T18:25:36,2024-11-13T11:09:33
Amber Mountain Pilsner,PORTER,028031502125,60,3.19,2024-04-14T12:50:54,2024-05-13T23:06:20
Roasted Eagle Wheat,PALE_ALE,289326882143,237,21.55,2023-02-13T17:21:33,2023-03-15T01:36:01
Session Bear Bock,IPA,274299957496,145,24.05,2022-12-15T08:21:35,2023-07-25T12:27:37
Hazy Storm IPA,PALE_ALE,319941523966,438,10.12,2022-09-01T21:40:54,2024-09-29T12:37:53
Hoppy Bluff Ale,GOSE,871041084649,355,15.59,2023-10-25T02:29:04,2024-02-05T15:13:07
